Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2022,Thurston,WA,Truck,21,0,21,"54,976","54,997",0.04
June 30 2022,Meade,KY,Passenger,1,0,1,22,23,4.35
August 31 2020,Bradley,TN,Passenger,1,0,1,1,2,50
August 31 2021,Lake,IN,Passenger,0,1,1,11,12,8.33
April 30 2022,Sevier,AR,Passenger,0,1,1,0,1,100
February 28 2022,District of Columbia,DC,Passenger,4,0,4,189,193,2.07
September 30 2022,Fort Bend,TX,Passenger,1,0,1,24,25,4
December 31 2018,Anne Arundel,MD,Passenger,0,1,1,448,449,0.22
November 30 2021,Boulder,CO,Passenger,2,1,3,44,47,6.38
December 31 2017,Kitsap,WA,Passenger,693,377,"1,070","1,75,842","1,76,912",0.6
April 30 2019,Lake,CA,Passenger,0,1,1,10,11,9.09
December 31 2023,Madison,IL,Passenger,1,0,1,15,16,6.25
March 31 2021,Grays Harbor,WA,Truck,0,0,0,"21,265","21,265",0
March 31 2018,El Paso,TX,Passenger,1,0,1,527,528,0.19
January 31 2024,Larimer,CO,Passenger,1,0,1,18,19,5.26
June 30 2021,Adams,WA,Truck,0,0,0,"5,385","5,385",0
August 31 2022,Thurston,WA,Passenger,"2,325","1,084","3,409","1,92,747","1,96,156",1.74
January 31 2022,Pend Oreille,WA,Passenger,17,9,26,"9,111","9,137",0.28
March 31 2022,Ferry,WA,Passenger,17,3,20,"4,430","4,450",0.45
January 31 2018,Contra Costa,CA,Passenger,0,1,1,465,466,0.21
June 30 2017,Ventura,CA,Passenger,0,1,1,363,364,0.27
April 30 2020,Skamania,WA,Truck,0,0,0,"4,052","4,052",0
October 31 2021,San Juan,WA,Truck,0,0,0,"5,974","5,974",0
February 28 2022,Hudson,NJ,Passenger,2,0,2,41,43,4.65
June 30 2022,Wichita,TX,Passenger,1,0,1,41,42,2.38
September 30 2023,James City,VA,Passenger,1,0,1,38,39,2.56
February 28 2019,Rogers,OK,Passenger,1,0,1,5,6,16.67
March 31 2022,Stevens,WA,Passenger,60,50,110,"30,053","30,163",0.36
January 31 2023,Charleston,SC,Passenger,2,2,4,62,66,6.06
September 30 2018,Broward,FL,Passenger,1,1,2,137,139,1.44
April 30 2020,Dakota,MN,Passenger,0,1,1,31,32,3.12
March 31 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
February 29 2020,Monroe,IL,Passenger,1,0,1,3,4,25
November 30 2020,Franklin,WA,Passenger,78,80,158,"61,150","61,308",0.26
June 30 2019,St. Clair,IL,Passenger,0,1,1,166,167,0.6
August 31 2022,Maricopa,AZ,Passenger,8,3,11,960,971,1.13
April 30 2023,Garfield,WA,Truck,0,0,0,979,979,0
March 31 2023,Lincoln,OR,Passenger,0,1,1,15,16,6.25
November 30 2019,Grays Harbor,WA,Passenger,99,99,198,"48,343","48,541",0.41
November 30 2020,Skamania,WA,Truck,0,0,0,"4,006","4,006",0
September 30 2021,Providence,RI,Passenger,1,0,1,27,28,3.57
July 31 2021,Wilson,NC,Passenger,1,0,1,0,1,100
March 31 2021,Kitsap,WA,Passenger,"1,674",799,"2,473","1,79,647","1,82,120",1.36
August 31 2021,Walla Walla,WA,Passenger,121,82,203,"36,465","36,668",0.55
September 30 2019,San Diego,CA,Passenger,11,3,14,"2,760","2,774",0.5
April 30 2022,Arapahoe,CO,Passenger,0,1,1,94,95,1.05
February 29 2024,New London,CT,Passenger,2,2,4,142,146,2.74
April 30 2022,DuPage,IL,Passenger,3,1,4,50,54,7.41
September 30 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
September 30 2021,Grays Harbor,WA,Passenger,183,150,333,"49,466","49,799",0.67
July 31 2022,Mason,WA,Passenger,319,174,493,"47,081","47,574",1.04
January 31 2021,Plaquemines,LA,Passenger,0,1,1,15,16,6.25
February 28 2022,St. Clair,IL,Passenger,1,0,1,124,125,0.8
April 30 2017,Stevens,WA,Truck,0,0,0,"18,284","18,284",0
May 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100
July 31 2019,Clallam,WA,Passenger,177,144,321,"50,640","50,961",0.63
June 30 2023,Klickitat,WA,Truck,12,0,12,"8,237","8,249",0.15
July 31 2023,Atlantic,NJ,Passenger,1,0,1,9,10,10
October 31 2019,Adams,WA,Truck,0,0,0,"5,152","5,152",0
November 30 2020,Whitman,WA,Truck,0,0,0,"8,490","8,490",0
March 31 2018,Bexar,TX,Passenger,2,2,4,794,798,0.5
January 31 2023,Jackson,OK,Passenger,0,1,1,32,33,3.03
February 29 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
May 31 2022,Skamania,WA,Truck,0,0,0,"3,966","3,966",0
December 31 2023,Thurston,WA,Passenger,"3,780","1,391","5,171","1,87,493","1,92,664",2.68
December 31 2018,St. Mary's,MD,Passenger,1,0,1,211,212,0.47
February 29 2024,Ventura,CA,Passenger,3,2,5,174,179,2.79
January 31 2018,New London,CT,Passenger,1,0,1,249,250,0.4
January 31 2021,Monterey,CA,Passenger,0,2,2,157,159,1.26
February 28 2022,Champaign,IL,Passenger,1,0,1,14,15,6.67
June 30 2020,Albemarle,VA,Passenger,1,0,1,23,24,4.17
September 30 2022,Adams,CO,Passenger,1,0,1,33,34,2.94
February 28 2017,Mason,WA,Passenger,47,61,108,"42,774","42,882",0.25
November 30 2018,Fresno,CA,Passenger,1,0,1,197,198,0.51
June 30 2019,Tulsa,OK,Passenger,1,1,2,51,53,3.77
January 31 2021,Douglas,CO,Passenger,0,1,1,84,85,1.18
January 31 2022,Fairfax,VA,Passenger,4,3,7,673,680,1.03
September 30 2021,Contra Costa,CA,Passenger,2,4,6,261,267,2.25
September 30 2020,Multnomah,OR,Passenger,4,6,10,717,727,1.38
July 31 2021,Asotin,WA,Truck,0,0,0,"6,765","6,765",0
May 31 2022,Randolph,NC,Passenger,1,0,1,6,7,14.29
November 30 2023,Chelan,WA,Passenger,721,205,926,"53,795","54,721",1.69
March 31 2017,Oklahoma,OK,Passenger,0,1,1,173,174,0.57
June 30 2020,Placer,CA,Passenger,2,0,2,96,98,2.04
November 30 2023,Moore,NC,Passenger,0,1,1,100,101,0.99
October 31 2022,Arlington,VA,Passenger,1,0,1,116,117,0.85
June 30 2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44
May 31 2019,San Juan,PR,Passenger,0,1,1,3,4,25
May 31 2019,Yakima,WA,Truck,0,0,0,"59,080","59,080",0
June 30 2019,Nueces,TX,Passenger,1,1,2,96,98,2.04
March 31 2022,Hawaii,HI,Passenger,1,0,1,43,44,2.27
May 31 2018,Saratoga,NY,Passenger,1,1,2,63,65,3.08
March 31 2022,Clallam,WA,Passenger,402,240,642,"49,959","50,601",1.27
August 31 2021,San Juan,WA,Passenger,452,141,593,"14,201","14,794",4.01
September 30 2020,Anne Arundel,MD,Passenger,1,1,2,400,402,0.5
November 30 2017,St. Clair,IL,Passenger,0,1,1,164,165,0.61
June 30 2019,Calvert,MD,Passenger,0,2,2,85,87,2.3
August 31 2021,Island,WA,Passenger,645,318,963,"63,120","64,083",1.5
September 30 2021,Asotin,WA,Passenger,20,17,37,"12,726","12,763",0.29
December 31 2023,Pacific,WA,Truck,6,0,6,"7,767","7,773",0.08
March 31 2018,Norfolk,VA,Passenger,1,2,3,331,334,0.9
May 31 2021,New London,CT,Passenger,1,1,2,226,228,0.88
July 31 2023,Kitsap,WA,Truck,80,0,80,"52,159","52,239",0.15
September 30 2022,Clallam,WA,Truck,6,0,6,"21,874","21,880",0.03
June 30 2022,Klickitat,WA,Passenger,103,55,158,"15,231","15,389",1.03
September 30 2017,Montgomery,TN,Passenger,1,0,1,279,280,0.36
June 30 2021,Burlington,NJ,Passenger,0,1,1,131,132,0.76
May 31 2022,San Juan,WA,Passenger,499,152,651,"14,085","14,736",4.42
May 31 2017,Okaloosa,FL,Passenger,1,0,1,187,188,0.53
March 31 2017,Prince William,VA,Passenger,0,4,4,276,280,1.43
February 28 2019,Pend Oreille,WA,Truck,0,0,0,"5,738","5,738",0
June 30 2022,Tarrant,TX,Passenger,2,0,2,125,127,1.57
April 30 2022,Autauga,AL,Passenger,1,0,1,12,13,7.69
October 31 2017,Okaloosa,FL,Passenger,1,0,1,188,189,0.53
February 28 2017,Palm Beach,FL,Passenger,0,1,1,100,101,0.99
November 30 2018,Charleston,SC,Passenger,1,0,1,130,131,0.76
January 31 2024,Arapahoe,CO,Passenger,1,1,2,61,63,3.17
September 30 2021,Sarasota,FL,Passenger,2,0,2,36,38,5.26
March 31 2023,Jefferson,WA,Passenger,524,247,771,"24,285","25,056",3.08
March 31 2017,Collin,TX,Passenger,0,1,1,153,154,0.65
March 31 2022,Philadelphia,PA,Passenger,1,0,1,41,42,2.38
February 29 2020,Deschutes,OR,Passenger,4,0,4,149,153,2.61
June 30 2022,Muscogee,GA,Passenger,0,1,1,123,124,0.81
June 30 2017,Wayne,MI,Passenger,0,1,1,72,73,1.37
July 31 2023,Snohomish,WA,Passenger,"13,190","3,142","16,332","5,27,416","5,43,748",3
April 30 2019,Ferry,WA,Passenger,4,2,6,"4,371","4,377",0.14
July 31 2018,Montgomery,MD,Passenger,1,0,1,289,290,0.34
December 31 2019,Shelby,TN,Passenger,0,1,1,99,100,1
September 30 2020,St. Louis,MO,Passenger,1,0,1,99,100,1
December 31 2019,Arapahoe,CO,Passenger,1,0,1,145,146,0.68
March 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,89,90,1.11
October 31 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
March 31 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
March 31 2020,Clay,FL,Passenger,0,1,1,84,85,1.18
September 30 2018,Maricopa,AZ,Passenger,2,2,4,"1,616","1,620",0.25
June 30 2020,DeKalb,GA,Passenger,1,0,1,84,85,1.18
March 31 2019,Jefferson,WA,Truck,0,0,0,"9,640","9,640",0
February 28 2019,Gwinnett,GA,Passenger,0,1,1,78,79,1.27
June 30 2022,Montgomery,PA,Passenger,2,0,2,24,26,7.69
May 31 2023,Clark,WA,Passenger,"5,651","2,287","7,938","3,13,802","3,21,740",2.47
June 30 2021,Benton,WA,Truck,0,0,0,"43,627","43,627",0
June 30 2020,Grant,WA,Passenger,59,71,130,"65,223","65,353",0.2
March 31 2020,St. Mary's,MD,Passenger,1,0,1,210,211,0.47
March 31 2023,James City,VA,Passenger,1,0,1,40,41,2.44
February 28 2023,Shasta,CA,Passenger,1,0,1,24,25,4
April 30 2019,Washoe,NV,Passenger,2,0,2,113,115,1.74
May 31 2022,Fairfax,VA,Passenger,6,3,9,650,659,1.37
January 31 2023,Dorchester,SC,Passenger,1,0,1,54,55,1.82
December 31 2021,San Joaquin,CA,Passenger,1,1,2,101,103,1.94
December 31 2018,Ventura,CA,Passenger,0,2,2,327,329,0.61
February 28 2023,Montgomery,AL,Passenger,0,1,1,36,37,2.7
December 31 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
August 31 2022,Island,WA,Passenger,856,379,"1,235","61,669","62,904",1.96
August 31 2018,Jefferson,WA,Passenger,152,101,253,"24,677","24,930",1.01
November 30 2022,Berkeley,SC,Passenger,0,1,1,115,116,0.86
July 31 2020,Queens,NY,Passenger,1,0,1,51,52,1.92
April 30 2023,Lincoln,OR,Passenger,0,1,1,14,15,6.67
November 30 2019,Prince William,VA,Passenger,1,4,5,234,239,2.09
December 31 2022,Geary,KS,Passenger,1,0,1,77,78,1.28
September 30 2020,Columbia,WA,Truck,0,0,0,"1,531","1,531",0
January 31 2019,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
November 30 2022,Nassau,NY,Passenger,2,0,2,26,28,7.14
November 30 2021,Ventura,CA,Passenger,2,2,4,261,265,1.51
January 31 2018,New Haven,CT,Passenger,0,1,1,54,55,1.82
February 28 2023,Grant,WA,Truck,7,0,7,"28,061","28,068",0.02
September 30 2018,Utah,UT,Passenger,0,1,1,145,146,0.68
December 31 2017,Nueces,TX,Passenger,1,1,2,92,94,2.13
June 30 2022,Ulster,NY,Passenger,1,0,1,14,15,6.67
October 31 2022,Okaloosa,FL,Passenger,0,1,1,99,100,1
August 31 2018,Adams,WA,Passenger,5,5,10,"12,678","12,688",0.08
August 31 2018,Clark,WA,Passenger,"1,069",765,"1,834","3,09,183","3,11,017",0.59
July 31 2020,St. Mary's,MD,Passenger,1,0,1,214,215,0.47
September 30 2019,San Mateo,CA,Passenger,2,1,3,127,130,2.31
July 31 2019,Santa Fe,NM,Passenger,0,1,1,40,41,2.44
July 31 2022,Nueces,TX,Passenger,1,1,2,55,57,3.51
September 30 2022,Spartanburg,SC,Passenger,0,1,1,33,34,2.94
July 31 2022,Marion,IA,Passenger,1,0,1,0,1,100
November 30 2023,Island,WA,Passenger,"1,272",471,"1,743","60,687","62,430",2.79
July 31 2019,Honolulu,HI,Passenger,3,3,6,510,516,1.16
March 31 2023,Whitman,WA,Truck,4,0,4,"8,604","8,608",0.05
February 28 2017,Wahkiakum,WA,Truck,0,0,0,"1,625","1,625",0
March 31 2021,,,Passenger,4,1,5,352,357,1.4
December 31 2022,Santa Clara,CA,Passenger,11,4,15,211,226,6.64
August 31 2019,Bergen,NJ,Passenger,1,0,1,28,29,3.45
November 30 2019,San Mateo,CA,Passenger,1,1,2,130,132,1.52
June 30 2020,Pend Oreille,WA,Truck,0,0,0,"5,758","5,758",0
October 31 2017,Ventura,CA,Passenger,0,1,1,342,343,0.29
September 30 2018,Santa Fe,NM,Passenger,0,1,1,45,46,2.17
June 30 2020,Flathead,MT,Passenger,1,0,1,65,66,1.52
October 31 2018,Suffolk,MA,Passenger,0,1,1,44,45,2.22
February 28 2023,Kings,CA,Passenger,2,1,3,290,293,1.02
April 30 2023,Arapahoe,CO,Passenger,1,1,2,85,87,2.3
January 31 2019,St. Clair,IL,Passenger,0,1,1,170,171,0.58
August 31 2022,Skagit,WA,Passenger,854,348,"1,202","89,723","90,925",1.32
September 30 2018,Pinal,AZ,Passenger,2,0,2,206,208,0.96
May 31 2018,Broward,FL,Passenger,1,1,2,131,133,1.5
December 31 2022,Marin,CA,Passenger,1,1,2,31,33,6.06
March 31 2023,Marin,CA,Passenger,1,1,2,30,32,6.25
March 31 2021,Montgomery,MD,Passenger,1,0,1,235,236,0.42
December 31 2023,Montgomery,MD,Passenger,6,2,8,164,172,4.65
September 30 2023,Marion,IA,Passenger,1,0,1,0,1,100
August 31 2019,New Haven,CT,Passenger,0,2,2,48,50,4
December 31 2020,Greene,MO,Passenger,0,1,1,35,36,2.78
November 30 2022,Miami-Dade,FL,Passenger,1,0,1,67,68,1.47
March 31 2023,Douglas,WA,Truck,6,0,6,"12,885","12,891",0.05
March 31 2019,Nueces,TX,Passenger,1,1,2,92,94,2.13
December 31 2021,Mason,WA,Truck,0,0,0,"21,197","21,197",0
August 31 2017,Pend Oreille,WA,Truck,0,0,0,"5,551","5,551",0
February 28 2018,Brevard,FL,Passenger,0,1,1,103,104,0.96
March 31 2021,Santa Clara,CA,Passenger,9,2,11,285,296,3.72
September 30 2020,Sumter,FL,Passenger,0,1,1,11,12,8.33
May 31 2019,DuPage,IL,Passenger,1,0,1,65,66,1.52
October 31 2020,Grant,WA,Passenger,71,81,152,"65,725","65,877",0.23
December 31 2021,Ferry,WA,Truck,0,0,0,"3,595","3,595",0
October 31 2021,Allen,IN,Passenger,1,0,1,20,21,4.76
June 30 2021,New Haven,CT,Passenger,0,2,2,34,36,5.56
October 31 2022,Grays Harbor,WA,Passenger,231,166,397,"48,685","49,082",0.81
February 28 2022,Chelan,WA,Passenger,429,121,550,"54,545","55,095",1
June 30 2019,Walla Walla,WA,Truck,0,0,0,"13,591","13,591",0
December 31 2021,Skamania,WA,Truck,0,0,0,"3,998","3,998",0
July 31 2023,Berkeley,SC,Passenger,0,1,1,96,97,1.03
March 31 2023,Fairfax,VA,Passenger,7,3,10,594,604,1.66
July 31 2022,Sacramento,CA,Passenger,3,1,4,221,225,1.78
June 30 2018,Jefferson,CO,Passenger,0,1,1,63,64,1.56
July 31 2020,Klamath,OR,Passenger,1,0,1,35,36,2.78
August 31 2021,Spokane,WA,Truck,0,0,0,"1,02,416","1,02,416",0
April 30 2018,Lewis,WA,Passenger,78,53,131,"57,351","57,482",0.23
May 31 2022,Howard,MD,Passenger,0,2,2,64,66,3.03
July 31 2021,Loudoun,VA,Passenger,1,0,1,71,72,1.39
July 31 2023,Loudoun,VA,Passenger,2,1,3,59,62,4.84
September 30 2021,Juneau,AK,Passenger,0,1,1,29,30,3.33
July 31 2023,Washington,MD,Passenger,1,0,1,11,12,8.33
March 31 2023,Grays Harbor,WA,Truck,2,0,2,"21,006","21,008",0.01
August 31 2022,Klickitat,WA,Passenger,106,54,160,"15,167","15,327",1.04
June 30 2017,Shelby,TN,Passenger,0,1,1,114,115,0.87
April 30 2021,Placer,CA,Passenger,2,0,2,83,85,2.35
June 30 2022,Stafford,VA,Passenger,2,1,3,93,96,3.12
December 31 2021,Orange,NC,Passenger,0,1,1,12,13,7.69
August 31 2020,Jones,GA,Passenger,1,0,1,1,2,50
May 31 2018,Kittitas,WA,Passenger,45,32,77,"28,904","28,981",0.27
February 29 2020,Virginia Beach,VA,Passenger,1,0,1,687,688,0.15
February 28 2019,Bexar,TX,Passenger,2,4,6,700,706,0.85
September 30 2019,Franklin,WA,Truck,0,0,0,"19,531","19,531",0
September 30 2018,Dale,AL,Passenger,0,1,1,53,54,1.85
March 31 2023,Montgomery,TN,Passenger,1,0,1,177,178,0.56
June 30 2019,Hennepin,MN,Passenger,2,1,3,101,104,2.88
July 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50
February 28 2019,Washington,OR,Passenger,0,1,1,474,475,0.21
October 31 2022,Bryan,GA,Passenger,0,1,1,33,34,2.94
March 31 2021,Flathead,MT,Passenger,1,0,1,52,53,1.89
March 31 2023,San Juan,WA,Truck,10,0,10,"5,913","5,923",0.17
December 31 2019,Clark,WA,Passenger,"1,843","1,044","2,887","3,17,671","3,20,558",0.9
March 31 2020,Sacramento,CA,Passenger,1,1,2,289,291,0.69
February 28 2019,New Haven,CT,Passenger,0,1,1,49,50,2
November 30 2020,Fresno,CA,Passenger,1,0,1,186,187,0.53
August 31 2020,Boone,MO,Passenger,0,1,1,11,12,8.33
February 28 2019,Benton,WA,Truck,0,0,0,"41,547","41,547",0
January 31 2017,Thurston,WA,Truck,0,0,0,"53,329","53,329",0
April 30 2021,Salt Lake,UT,Passenger,0,1,1,185,186,0.54
September 30 2020,Greene,MO,Passenger,0,1,1,35,36,2.78
August 31 2019,Chelan,WA,Passenger,165,70,235,"54,448","54,683",0.43
November 30 2023,Las Animas,CO,Passenger,1,0,1,0,1,100
November 30 2022,King,WA,Passenger,"47,002","12,035","59,037","13,38,609","13,97,646",4.22
March 31 2020,Cumberland,NC,Passenger,0,2,2,495,497,0.4
December 31 2019,Ferry,WA,Truck,0,0,0,"3,581","3,581",0
December 31 2017,District of Columbia,DC,Passenger,0,3,3,200,203,1.48
October 31 2022,Hawaii,HI,Passenger,1,0,1,35,36,2.78
November 30 2019,Richland,SC,Passenger,0,1,1,159,160,0.62
August 31 2020,Lake,IL,Passenger,1,0,1,171,172,0.58
November 30 2023,Howard,MD,Passenger,0,2,2,52,54,3.7
May 31 2019,Kitsap,WA,Passenger,"1,035",588,"1,623","1,80,649","1,82,272",0.89
May 31 2023,San Diego,CA,Passenger,19,7,26,"2,135","2,161",1.2
July 31 2018,Juneau,AK,Passenger,0,1,1,47,48,2.08
June 30 2021,San Diego,CA,Passenger,17,4,21,"2,594","2,615",0.8
October 31 2017,Clark,NV,Passenger,2,2,4,775,779,0.51
May 31 2020,Santa Clara,CA,Passenger,8,2,10,320,330,3.03
January 31 2021,Queens,NY,Passenger,1,0,1,54,55,1.82
December 31 2017,Charles,MD,Passenger,0,1,1,86,87,1.15
January 31 2019,Lincoln,WA,Truck,0,0,0,"4,665","4,665",0
February 28 2017,Whitman,WA,Passenger,8,18,26,"21,934","21,960",0.12
February 28 2021,Thurston,WA,Passenger,"1,383",810,"2,193","1,97,041","1,99,234",1.1
November 30 2021,Whatcom,WA,Passenger,"1,611",660,"2,271","1,50,117","1,52,388",1.49
June 30 2017,Ferry,WA,Passenger,1,1,2,"4,396","4,398",0.05
March 31 2023,Franklin,WA,Truck,5,0,5,"20,878","20,883",0.02
February 29 2020,Boone,MO,Passenger,0,1,1,12,13,7.69
January 31 2020,Thurston,WA,Truck,0,0,0,"55,757","55,757",0
April 30 2021,Hamilton,IN,Passenger,2,0,2,37,39,5.13
October 31 2017,Lee,AL,Passenger,1,0,1,35,36,2.78
September 30 2020,Nueces,TX,Passenger,1,0,1,86,87,1.15
August 31 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
January 31 2022,Harrison,MS,Passenger,2,0,2,50,52,3.85
August 31 2019,Cochise,AZ,Passenger,0,1,1,106,107,0.93
May 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
January 31 2023,Spokane,WA,Passenger,"1,991",952,"2,943","3,24,018","3,26,961",0.9
November 30 2018,Grant,WA,Passenger,32,52,84,"64,030","64,114",0.13
August 31 2017,San Mateo,CA,Passenger,0,1,1,152,153,0.65
January 31 2023,Arapahoe,CO,Passenger,0,1,1,84,85,1.18
January 31 2023,Pierce,WA,Passenger,"6,392","2,545","8,937","5,36,964","5,45,901",1.64
May 31 2021,Snohomish,WA,Truck,1,0,1,"1,26,338","1,26,339",0
April 30 2021,Newport,RI,Passenger,0,1,1,78,79,1.27
September 30 2020,Alexandria,VA,Passenger,3,0,3,131,134,2.24
October 31 2023,Goochland,VA,Passenger,1,2,3,27,30,10
November 30 2020,Albemarle,VA,Passenger,1,0,1,23,24,4.17
March 31 2022,Klickitat,WA,Passenger,96,54,150,"15,323","15,473",0.97
August 31 2018,Pend Oreille,WA,Passenger,5,5,10,"9,584","9,594",0.1
May 31 2020,St. Mary's,MD,Passenger,1,0,1,211,212,0.47
December 31 2021,Broward,FL,Passenger,2,0,2,103,105,1.9
December 31 2017,Prince George,VA,Passenger,0,1,1,73,74,1.35
January 31 2018,Latah,ID,Passenger,0,1,1,79,80,1.25
August 31 2023,Santa Cruz,CA,Passenger,1,0,1,20,21,4.76
May 31 2022,Spokane,WA,Truck,1,0,1,"1,02,147","1,02,148",0
March 31 2022,Hillsborough,FL,Passenger,0,3,3,130,133,2.26
May 31 2023,Clark,NV,Passenger,9,2,11,416,427,2.58
January 31 2020,Hillsborough,FL,Passenger,0,1,1,186,187,0.53
September 30 2022,Broward,FL,Passenger,1,0,1,78,79,1.27
February 29 2024,Kings,CA,Passenger,2,1,3,235,238,1.26
September 30 2018,Snohomish,WA,Passenger,"2,516","1,329","3,845","5,24,489","5,28,334",0.73
October 31 2020,Skagit,WA,Truck,1,0,1,"32,673","32,674",0
June 30 2017,Douglas,WA,Truck,0,0,0,"11,526","11,526",0
August 31 2023,Chelan,WA,Truck,33,0,33,"23,175","23,208",0.14
March 31 2022,San Mateo,CA,Passenger,2,0,2,86,88,2.27
September 30 2023,Philadelphia,PA,Passenger,1,0,1,33,34,2.94
July 31 2023,Norfolk,VA,Passenger,2,2,4,270,274,1.46
March 31 2018,Tarrant,TX,Passenger,1,0,1,219,220,0.45
May 31 2023,Portsmouth,VA,Passenger,0,1,1,69,70,1.43
October 31 2023,Greene,OH,Passenger,1,0,1,23,24,4.17
August 31 2018,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
August 31 2019,Pinal,AZ,Passenger,2,0,2,199,201,1
November 30 2021,St. Mary's,MD,Passenger,1,0,1,202,203,0.49
January 31 2024,Brevard,FL,Passenger,1,0,1,46,47,2.13
December 31 2018,Kootenai,ID,Passenger,1,1,2,219,221,0.9
February 28 2021,Pacific,WA,Truck,0,0,0,"7,827","7,827",0
January 31 2017,Ferry,WA,Truck,0,0,0,"3,581","3,581",0
September 30 2018,Pierce,WA,Passenger,"1,325","1,267","2,592","5,35,464","5,38,056",0.48
August 31 2021,Adams,WA,Passenger,16,14,30,"13,033","13,063",0.23
April 30 2020,Island,WA,Truck,1,0,1,"21,134","21,135",0
September 30 2021,Whitman,WA,Truck,0,0,0,"8,561","8,561",0
March 31 2023,Howard,MD,Passenger,0,2,2,55,57,3.51
September 30 2021,Harrison,MS,Passenger,2,0,2,56,58,3.45
July 31 2018,Volusia,FL,Passenger,0,1,1,35,36,2.78
October 31 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
September 30 2021,Kings,NY,Passenger,1,0,1,70,71,1.41
February 28 2022,Portsmouth,VA,Passenger,0,1,1,84,85,1.18
July 31 2017,Adams,WA,Truck,0,0,0,"5,123","5,123",0
April 30 2017,New London,CT,Passenger,1,0,1,254,255,0.39
June 30 2023,Kootenai,ID,Truck,1,0,1,26,27,3.7
August 31 2018,Montgomery,MD,Passenger,1,0,1,287,288,0.35
November 30 2021,Montgomery,MD,Passenger,3,2,5,215,220,2.27
June 30 2019,Franklin,WA,Truck,0,0,0,"19,266","19,266",0
August 31 2022,King,WA,Passenger,"42,915","11,629","54,544","13,43,728","13,98,272",3.9
May 31 2022,Fulton,GA,Passenger,1,0,1,72,73,1.37
February 29 2020,Klickitat,WA,Truck,0,0,0,"8,299","8,299",0
June 30 2019,Columbia,WA,Truck,0,0,0,"1,532","1,532",0
December 31 2022,Placer,CA,Passenger,2,0,2,65,67,2.99
November 30 2019,King,WA,Truck,6,1,7,"1,82,313","1,82,320",0
September 30 2021,Whatcom,WA,Truck,4,0,4,"43,790","43,794",0.01
December 31 2017,Douglas,WA,Truck,0,0,0,"11,756","11,756",0
May 31 2019,Ferry,WA,Passenger,5,2,7,"4,382","4,389",0.16
May 31 2019,Saratoga,NY,Passenger,1,0,1,53,54,1.85
April 30 2022,Ada,ID,Passenger,1,0,1,185,186,0.54
January 31 2022,Portsmouth,VA,Passenger,0,1,1,85,86,1.16
March 31 2022,Richland,SC,Passenger,0,2,2,136,138,1.45
December 31 2019,Skamania,WA,Truck,0,0,0,"4,097","4,097",0
March 31 2017,Garfield,WA,Truck,0,0,0,939,939,0
March 31 2023,Fairbanks North Star,AK,Passenger,0,1,1,58,59,1.69
July 31 2021,Pennington,SD,Passenger,1,0,1,32,33,3.03
July 31 2021,Saginaw,MI,Passenger,1,0,1,9,10,10
December 31 2020,Walla Walla,WA,Passenger,98,67,165,"36,123","36,288",0.45
August 31 2021,Lee,FL,Passenger,1,0,1,38,39,2.56
May 31 2021,Sedgwick,KS,Passenger,0,1,1,91,92,1.09
September 30 2022,Miami-Dade,FL,Passenger,1,0,1,74,75,1.33
November 30 2019,Klickitat,WA,Passenger,45,38,83,"15,671","15,754",0.53
January 31 2019,Broward,FL,Passenger,2,1,3,130,133,2.26
